trial,session,picture_type,picture_label,sprang_form,repetition,total_repetition,audio_file,jitter_ms
1,1,7,impedir,impediondo,1,1,Sub6003_001_impedir.wav,7167
2,1,2,comenzas,camenziando,1,1,Sub6003_002_comenzas.wav,4650
3,1,10,partir,partiondo,1,1,Sub6003_003_partir.wav,5769
4,1,11,recibis,rocibiondo,1,1,Sub6003_004_recibis.wav,6293
5,1,1,avanzar,avanziando,1,1,Sub6003_005_avanzar.wav,4375
6,1,6,gustar,gustiando,1,1,Sub6003_006_gustar.wav,7218
7,1,3,definis,dofiniondo,1,1,Sub6003_007_definis.wav,6985
8,1,5,dominas,damitiando,1,1,Sub6003_008_dominas.wav,5634
9,1,12,sentis,sontiondo,1,1,Sub6003_009_sentis.wav,5553
10,1,4,deprimir,deprimiondo,1,1,Sub6003_010_deprimir.wav,4565
11,1,9,montas,mantiando,1,1,Sub6003_011_montas.wav,6214
12,1,8,lavar,laviando,1,1,Sub6003_012_lavar.wav,3834
13,1,2,comenzas,camenziando,2,2,Sub6003_013_comenzas.wav,3477
14,1,7,impedir,impediondo,2,2,Sub6003_014_impedir.wav,3332
15,1,1,avanzar,avanziando,2,2,Sub6003_015_avanzar.wav,3527
16,1,6,gustar,gustiando,2,2,Sub6003_016_gustar.wav,4056
17,1,10,partir,partiondo,2,2,Sub6003_017_partir.wav,5732
18,1,11,recibis,rocibiondo,2,2,Sub6003_018_recibis.wav,4413
19,1,12,sentis,sontiondo,2,2,Sub6003_019_sentis.wav,4271
20,1,9,montas,mantiando,2,2,Sub6003_020_montas.wav,5916
21,1,3,definis,dofiniondo,2,2,Sub6003_021_definis.wav,4891
22,1,4,deprimir,deprimiondo,2,2,Sub6003_022_deprimir.wav,4682
23,1,5,dominas,damitiando,2,2,Sub6003_023_dominas.wav,3884
24,1,8,lavar,laviando,2,2,Sub6003_024_lavar.wav,4766
25,1,9,montas,mantiando,3,3,Sub6003_025_montas.wav,7336
26,1,6,gustar,gustiando,3,3,Sub6003_026_gustar.wav,4890
27,1,10,partir,partiondo,3,3,Sub6003_027_partir.wav,4846
28,1,12,sentis,sontiondo,3,3,Sub6003_028_sentis.wav,4446
29,1,4,deprimir,deprimiondo,3,3,Sub6003_029_deprimir.wav,6151
30,1,3,definis,dofiniondo,3,3,Sub6003_030_definis.wav,4159
31,1,1,avanzar,avanziando,3,3,Sub6003_031_avanzar.wav,3608
32,1,8,lavar,laviando,3,3,Sub6003_032_lavar.wav,6014
33,1,11,recibis,rocibiondo,3,3,Sub6003_033_recibis.wav,4772
34,1,2,comenzas,camenziando,3,3,Sub6003_034_comenzas.wav,6591
35,1,7,impedir,impediondo,3,3,Sub6003_035_impedir.wav,3558
36,1,5,dominas,damitiando,3,3,Sub6003_036_dominas.wav,4425
37,1,12,sentis,sontiondo,4,4,Sub6003_037_sentis.wav,6478
38,1,3,definis,dofiniondo,4,4,Sub6003_038_definis.wav,6477
39,1,1,avanzar,avanziando,4,4,Sub6003_039_avanzar.wav,4671
40,1,8,lavar,laviando,4,4,Sub6003_040_lavar.wav,4275
