trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,10.5551,4.0,1,1,1,1,Sub6016_001_impedir.wav,9.0725,9.0725,fmri_naming_task-20251218-113828-NSRUI.log,5072
2,1,2,2,trial-002-sentis,12,sentis,sontiondo,is,-is,rule_is,4,20.155,4.0,1,1,1,1,Sub6016_002_sentis.wav,8.9754,8.9754,fmri_naming_task-20251218-113828-NSRUI.log,4975
3,1,3,3,trial-003-partir,10,partir,partiondo,ir,-ir,rule_ir,2,29.6549,4.0,1,1,1,2,Sub6016_003_partir.wav,7.6763,7.6763,fmri_naming_task-20251218-113828-NSRUI.log,3676
4,1,4,4,trial-004-montas,9,montas,mantiando,as,-as,rule_as,3,37.8548,4.0,1,1,1,1,Sub6016_004_montas.wav,8.8003,8.8003,fmri_naming_task-20251218-113828-NSRUI.log,4800
5,1,5,5,trial-005-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,47.1881,4.0,1,1,1,2,Sub6016_005_recibis.wav,8.9033,8.9033,fmri_naming_task-20251218-113828-NSRUI.log,4903
6,1,6,6,trial-006-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,56.6213,4.0,1,1,1,1,Sub6016_006_lavar.wav,10.4078,10.4078,fmri_naming_task-20251218-113828-NSRUI.log,6408
7,1,7,7,trial-007-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,67.5545,4.0,1,1,1,2,Sub6016_007_avanzar.wav,9.1633,9.1633,fmri_naming_task-20251218-113828-NSRUI.log,5163
8,1,8,8,trial-008-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,77.2544,4.0,1,1,1,3,Sub6016_008_gustar.wav,7.8133,7.8133,fmri_naming_task-20251218-113828-NSRUI.log,3813
9,1,9,9,trial-009-definis,3,definis,dofiniondo,is,-is,rule_is,4,85.6043,4.0,1,1,1,3,Sub6016_009_definis.wav,9.8676,9.8676,fmri_naming_task-20251218-113828-NSRUI.log,5868
10,1,10,10,trial-010-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,96.0043,4.0,1,1,1,3,Sub6016_010_deprimir.wav,7.7869,7.7869,fmri_naming_task-20251218-113828-NSRUI.log,3787
11,1,11,11,trial-011-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,104.3208,4.0,1,1,1,2,Sub6016_011_comenzas.wav,8.9182,8.9182,fmri_naming_task-20251218-113828-NSRUI.log,4918
12,1,12,12,trial-012-dominas,5,dominas,damitiando,as,-as,rule_as,3,113.7707,4.0,1,1,1,3,Sub6016_012_dominas.wav,8.4349,8.4349,fmri_naming_task-20251218-113828-NSRUI.log,4435
13,1,13,13,trial-013-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,122.7373,4.0,2,2,2,4,Sub6016_013_avanzar.wav,9.314,9.314,fmri_naming_task-20251218-113828-NSRUI.log,5314
14,1,14,14,trial-014-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,132.5872,4.0,2,2,2,4,Sub6016_014_recibis.wav,8.9307,8.9307,fmri_naming_task-20251218-113828-NSRUI.log,4931
15,1,15,15,trial-015-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,142.0533,4.0,2,2,2,5,Sub6016_015_lavar.wav,8.9681,8.9681,fmri_naming_task-20251218-113828-NSRUI.log,4968
16,1,16,16,trial-016-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,151.5537,4.0,2,2,2,4,Sub6016_016_impedir.wav,8.9761,8.9761,fmri_naming_task-20251218-113828-NSRUI.log,4976
17,1,17,17,trial-017-definis,3,definis,dofiniondo,is,-is,rule_is,4,161.0536,4.0,2,2,2,5,Sub6016_017_definis.wav,8.1675,8.1675,fmri_naming_task-20251218-113828-NSRUI.log,4167
18,1,18,18,trial-018-sentis,12,sentis,sontiondo,is,-is,rule_is,4,169.7535,4.0,2,2,2,6,Sub6016_018_sentis.wav,7.5212,7.5212,fmri_naming_task-20251218-113828-NSRUI.log,3521
19,1,19,19,trial-019-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,177.8035,4.0,2,2,2,6,Sub6016_019_gustar.wav,8.2878,8.2878,fmri_naming_task-20251218-113828-NSRUI.log,4288
20,1,20,20,trial-020-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,186.62,4.0,2,2,2,4,Sub6016_020_comenzas.wav,9.2348,9.2348,fmri_naming_task-20251218-113828-NSRUI.log,5235
21,1,21,21,trial-021-dominas,5,dominas,damitiando,as,-as,rule_as,3,196.4033,4.0,2,2,2,5,Sub6016_021_dominas.wav,8.6625,8.6625,fmri_naming_task-20251218-113828-NSRUI.log,4663
22,1,22,22,trial-022-montas,9,montas,mantiando,as,-as,rule_as,3,205.5865,4.0,2,2,2,6,Sub6016_022_montas.wav,7.8276,7.8276,fmri_naming_task-20251218-113828-NSRUI.log,3828
23,1,23,23,trial-023-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,213.9364,4.0,2,2,2,5,Sub6016_023_deprimir.wav,8.4697,8.4697,fmri_naming_task-20251218-113828-NSRUI.log,4470
24,1,24,24,trial-024-partir,10,partir,partiondo,ir,-ir,rule_ir,2,222.9364,4.0,2,2,2,6,Sub6016_024_partir.wav,8.6277,8.6277,fmri_naming_task-20251218-113828-NSRUI.log,4628
25,1,25,25,trial-025-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,232.0863,4.0,3,3,3,7,Sub6016_025_gustar.wav,9.0583,9.0583,fmri_naming_task-20251218-113828-NSRUI.log,5058
26,1,26,26,trial-026-partir,10,partir,partiondo,ir,-ir,rule_ir,2,241.6695,4.0,3,3,3,7,Sub6016_026_partir.wav,11.6541,11.6541,fmri_naming_task-20251218-113828-NSRUI.log,7654
27,1,27,27,trial-027-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,253.8527,4.0,3,3,3,8,Sub6016_027_lavar.wav,8.5733,8.5733,fmri_naming_task-20251218-113828-NSRUI.log,4573
